corpus,task,name,url,fs,lang,gender,pytorch,espnet,commit,valid
librispeech,asr,kamo-naoyuki/librispeech_asr_train_asr_conformer5_raw_bpe5000_frontend_confn_fft400_frontend_confhop_length160_scheduler_confwarmup_steps25000_batch_bins140000000_optim_conflr0.0015_initnone_sp_valid.acc.ave,https://zenodo.org/record/4543003/files/asr_train_asr_conformer5_raw_bpe5000_frontend_confn_fft400_frontend_confhop_length160_scheduler_confwarmup_steps25000_batch_bins140000000_optim_conflr0.0015_initnone_sp_valid.acc.ave.zip?download=1,16000,en,,1.7.1,0.9.6,8eff1a9,true
librispeech,asr,kamo-naoyuki/librispeech_asr_train_asr_conformer5_raw_bpe5000_frontend_confn_fft512_frontend_confhop_length256_scheduler_confwarmup_steps25000_batch_bins140000000_optim_conflr0.0015_initnone_sp_valid.acc.ave,https://zenodo.org/record/4543018/files/asr_train_asr_conformer5_raw_bpe5000_frontend_confn_fft512_frontend_confhop_length256_scheduler_confwarmup_steps25000_batch_bins140000000_optim_conflr0.0015_initnone_sp_valid.acc.ave.zip?download=1,16000,en,,1.7.1,0.9.6,8eff1a9,true
laborotv,asr,Shinji Watanabe/laborotv_asr_train_asr_conformer2_latest33_raw_char_sp_valid.acc.ave,https://zenodo.org/record/4304245/files/asr_train_asr_conformer2_latest33_raw_char_sp_valid.acc.ave.zip?download=1,16000,jp,,1.4.0,0.9.5,c40d6e2,true
mls,asr,ftshijt/mls_asr_transformer_valid.acc.best,https://zenodo.org/record/4458452/files/asr_transformer_valid.acc.best.zip?download=1,16000,es,,1.6.0,0.9.2,c0c3724,true
librimix,enh,anogkongda/librimix_enh_train_raw_valid.si_snr.ave,https://zenodo.org/record/4480771/files/enh_train_raw_valid.si_snr.ave.zip?download=1,8000,en,,1.6.0,0.9.7,dccadcd,TRUE
wsj0_2mix,enh,Chenda Li/wsj0_2mix_enh_train_enh_conv_tasnet_raw_valid.si_snr.ave,https://zenodo.org/record/4498562/files/enh_train_enh_conv_tasnet_raw_valid.si_snr.ave.zip?download=1,8000,en,,1.5.0,0.9.7,110eca5,TRUE
wsj0_2mix,enh,Chenda Li/wsj0_2mix_enh_train_enh_rnn_tf_raw_valid.si_snr.ave,https://zenodo.org/record/4498554/files/enh_train_enh_rnn_tf_raw_valid.si_snr.ave.zip?download=1,8000,en,,1.5.1,0.9.8,110eca5,TRUE
spgispeech,asr,Shinji Watanabe/spgispeech_asr_train_asr_conformer6_n_fft512_hop_length256_raw_en_unnorm_bpe5000_valid.acc.ave,https://zenodo.org/record/4585558/files/asr_train_asr_conformer6_n_fft512_hop_length256_raw_en_unnorm_bpe5000_valid.acc.ave.zip?download=1,16000,en_unnorm,,1.7.1,0.9.8,,true
spgispeech,asr,Shinji Watanabe/spgispeech_asr_train_asr_conformer6_n_fft512_hop_length256_raw_en_bpe5000_valid.acc.ave,https://zenodo.org/record/4585546/files/asr_train_asr_conformer6_n_fft512_hop_length256_raw_en_bpe5000_valid.acc.ave.zip?download=1,16000,en,,1.7.1,0.9.8,,true
librispeech,asr,kamo-naoyuki/librispeech_asr_train_asr_conformer6_n_fft512_hop_length256_raw_en_bpe5000_scheduler_confwarmup_steps40000_optim_conflr0.0025_sp_valid.acc.ave,https://zenodo.org/record/4604066/files/asr_train_asr_conformer6_n_fft512_hop_length256_raw_en_bpe5000_scheduler_confwarmup_steps40000_optim_conflr0.0025_sp_valid.acc.ave.zip?download=1,16000,en,,1.8.0,0.9.8,2ccd176,true
aishell,asr,Emiru Tsunoo/aishell_asr_train_asr_streaming_transformer_raw_zh_char_sp_valid.acc.ave,https://zenodo.org/record/4604023/files/asr_train_asr_streaming_transformer_raw_zh_char_sp_valid.acc.ave.zip?download=1,16000,zh,,1.4.0,0.9.7,,true
open_li52,asr,ftshijt/open_li52_asr_train_asr_raw_bpe7000_valid.acc.ave_10best,https://zenodo.org/record/4738407/files/asr_train_asr_raw_bpe7000_valid.acc.ave_10best.zip?download=1,16000,multilingual,,1.7.1,0.9.7,59bc1f7,true
gigaspeech,asr,Shinji Watanabe/open_li52_asr_train_asr_raw_bpe7000_valid.acc.ave,https://zenodo.org/record/4630406/files/asr_train_asr_raw_en_bpe5000_valid.acc.ave.zip?download=1,16000,en,,1.7.1,0.9.8,,true
switchboard,asr,Yuekai Zhang/swbd_asr_train_asr_cformer5_raw_bpe2000_sp_valid.acc.ave,https://zenodo.org/record/4978923/files/asr_train_asr_cformer5_raw_bpe2000_sp_valid.acc.ave.zip?download=1,8000,en,,1.7.1,0.9.8,,true
dns_ins20,enh,Yen-Ju Lu/dns_ins20_enh_train_enh_blstm_tf_raw_valid.loss.best,https://zenodo.org/record/4923697/files/enh_train_enh_blstm_tf_raw_valid.loss.best.zip?download=1,16000,en,,1.4.0,0.9.9,,true
