wav_id,left_channel,right_channel
2010-07-26-j,MGG317,JVC313
2010-07-26-b,MGG317,JVC313
2010-07-26-f,MGG317,JVC313
2010-07-26-g,MGG317,JVC313
2010-07-26-c,MGG317,JVC313
2010-07-26-k,MGG317,JVC313
2013-04-04-a,RMM302,AJH303
2013-04-04-j,RMM302,AND308
2010-07-20-h,PSC320,
2010-07-20-m,PSC320,
2010-07-20-e,PSC320,
2010-07-20-l,PSC320,
2010-07-20-a,PSC320,
2010-07-20-f,PSC320,
2010-07-20-k,PSC320,
2010-07-20-i,PSC320,
2010-07-20-c,PSC320,
2010-07-20-b,PSC320,
2010-07-20-g,PSC320,
2010-07-20-j,PSC320,
2013-04-04-j,RMM302,AND308
2010-07-26-w,JVC313,FHR321
